Commodity Code,Commodity Name,Substance,Unit,Supply Chain Emission Factors without Margins,Margins of Supply Chain Emission Factors,Supply Chain Emission Factors with Margins,Unnamed: 7,DQ ReliabilityScore of Factors without Margins,DQ TemporalCorrelation of Factors without Margins,DQ GeographicalCorrelation of Factors without Margins,DQ TechnologicalCorrelation of Factors without Margins,DQ DataCollection of Factors without Margins,Year
20,254,1,1,0.01,0.0,0.01,0.0,4,3,1,1,1,2010
20,254,2,1,0.0,0.0,0.0,0.0,4,3,1,3,1,2010
20,254,3,0,0.005,0.0,0.005,0.0,3,3,1,2,1,2010
21,99,0,1,4.488,0.0,4.488,0.0,2,3,1,2,1,2010
21,99,1,1,0.007,0.0,0.007,0.0,4,3,1,1,1,2010
21,99,2,1,0.0,0.0,0.0,0.0,2,3,1,2,1,2010
21,99,3,0,0.016,0.0,0.016,0.0,2,3,1,1,1,2010
22,218,0,1,0.664,0.0,0.664,0.0,3,3,1,2,1,2010
22,218,1,1,0.011,0.0,0.011,0.0,4,3,1,1,1,2010
22,218,2,1,0.0,0.0,0.0,0.0,3,3,1,2,1,2010
22,218,3,0,0.004,0.0,0.004,0.0,3,3,1,3,1,2010
23,94,0,1,0.419,0.0,0.419,0.0,3,3,1,3,1,2010
23,94,1,1,0.009,0.0,0.009,0.0,4,3,1,1,1,2010
23,94,2,1,0.0,0.0,0.0,0.0,4,3,1,1,1,2010
23,94,3,0,0.007,0.0,0.007,0.0,3,3,1,4,1,2010
24,225,0,1,0.451,0.0,0.451,0.0,3,3,1,4,1,2010
24,225,1,1,0.002,0.0,0.002,0.0,4,3,1,1,1,2010
24,225,2,1,0.0,0.0,0.0,0.0,3,3,1,3,1,2010
24,225,3,0,0.026,0.0,0.026,0.0,4,3,1,5,1,2010
25,305,0,1,0.36,0.0,0.36,0.0,3,3,1,4,1,2010
25,305,1,1,0.002,0.0,0.002,0.0,4,3,1,1,1,2010
25,305,2,1,0.0,0.0,0.0,0.0,3,3,1,3,1,2010
25,305,3,0,0.028,0.0,0.028,0.0,4,3,1,5,1,2010
26,141,0,1,0.262,0.0,0.262,0.0,3,3,1,3,1,2010
26,141,1,1,0.001,0.0,0.001,0.0,4,3,1,1,1,2010
26,141,2,1,0.0,0.0,0.0,0.0,3,3,1,3,1,2010
26,141,3,0,0.025,0.0,0.025,0.0,4,3,1,5,1,2010
27,193,0,1,0.4,0.0,0.4,0.0,3,3,1,3,1,2010
27,193,1,1,0.002,0.0,0.002,0.0,4,3,1,1,1,2010
27,193,2,1,0.0,0.0,0.0,0.0,3,3,1,3,1,2010
27,193,3,0,0.019,0.0,0.019,0.0,4,3,1,4,1,2010
28,287,0,1,0.407,0.0,0.407,0.0,3,3,1,4,1,2010
28,287,1,1,0.005,0.0,0.005,0.0,4,3,1,1,1,2010
28,287,2,1,0.0,0.0,0.0,0.0,3,3,1,3,1,2010
28,287,3,0,0.009,0.0,0.009,0.0,4,3,1,4,1,2010
29,98,0,1,0.245,0.0,0.245,0.0,3,3,1,3,1,2010
29,98,1,1,0.001,0.0,0.001,0.0,4,3,1,1,1,2010
29,98,2,1,0.0,0.0,0.0,0.0,3,3,1,3,1,2010
29,98,3,0,0.022,0.0,0.022,0.0,4,3,1,5,1,2010
30,59,0,1,0.29,0.0,0.29,0.0,3,3,1,4,1,2010
30,59,1,1,0.001,0.0,0.001,0.0,4,3,1,1,1,2010
30,59,2,1,0.0,0.0,0.0,0.0,3,3,1,3,1,2010
30,59,3,0,0.035,0.0,0.035,0.0,4,3,1,5,1,2010
31,358,0,1,0.442,0.0,0.442,0.0,4,3,1,4,1,2010
31,358,1,1,0.002,0.0,0.002,0.0,4,3,1,1,1,2010
31,358,2,1,0.0,0.0,0.0,0.0,3,3,1,3,1,2010
31,358,3,0,0.008,0.0,0.008,0.0,4,3,1,4,1,2010
32,247,0,1,0.407,0.0,0.407,0.0,3,3,1,4,1,2010
32,247,1,1,0.002,0.0,0.002,0.0,4,3,1,1,1,2010
32,247,2,1,0.0,0.0,0.0,0.0,3,3,1,2,1,2010
32,247,3,0,0.013,0.0,0.013,0.0,4,3,1,4,1,2010
33,327,0,1,0.235,0.0,0.235,0.0,3,3,1,3,1,2010
33,327,1,1,0.001,0.0,0.001,0.0,4,3,1,1,1,2010
33,327,2,1,0.0,0.0,0.0,0.0,3,3,1,2,1,2010
33,327,3,0,0.011,0.0,0.011,0.0,4,3,1,5,1,2010
34,216,0,1,0.144,0.0,0.144,0.0,3,3,1,3,1,2010
34,216,1,1,0.001,0.0,0.001,0.0,4,3,1,1,1,2010
34,216,2,1,0.0,0.0,0.0,0.0,3,3,1,2,1,2010
34,216,3,0,0.008,0.0,0.008,0.0,4,3,1,5,1,2010
35,251,0,1,0.364,0.0,0.364,0.0,3,3,1,4,1,2010
35,251,1,1,0.001,0.0,0.001,0.0,4,3,1,1,1,2010
35,251,2,1,0.0,0.0,0.0,0.0,3,3,1,3,1,2010
35,251,3,0,0.018,0.0,0.018,0.0,4,3,1,5,1,2010
36,92,0,1,0.283,0.08,0.363,0.0,3,3,1,4,1,2010
36,92,1,1,0.005,0.0,0.006,0.0,3,3,1,1,1,2010
36,92,2,1,0.001,0.0,0.001,0.0,4,3,1,4,1,2010
36,92,3,0,0.009,0.0,0.009,0.0,3,3,1,2,1,2010
37,234,0,1,0.252,0.039,0.29,0.0,3,3,1,4,1,2010
37,234,1,1,0.002,0.0,0.003,0.0,3,3,1,1,1,2010
37,234,2,1,0.001,0.0,0.001,0.0,4,3,1,4,1,2010
37,234,3,0,0.004,0.0,0.004,0.0,3,3,1,4,1,2010
38,115,0,1,0.37,0.037,0.407,0.0,3,3,1,4,1,2010
38,115,1,1,0.003,0.0,0.003,0.0,3,3,1,1,1,2010
38,115,2,1,0.001,0.0,0.001,0.0,4,3,1,4,1,2010
38,115,3,0,0.005,0.0,0.005,0.0,3,3,1,3,1,2010
39,74,0,1,0.557,0.03,0.587,0.0,4,3,1,4,1,2010
39,74,1,1,0.003,0.0,0.003,0.0,3,3,1,1,1,2010
